=== BASE DE DONNEES : AIDE FINITION 501 ===
Format : Score | Flechette_1 | Flechette_2 | Flechette_3
Le symbole '-' signifie qu'aucune flechette n'est necessaire.

--- [MODE : DOUBLE OUT] ---
180|T20|T20|S20
179|T20|T20|S19
178|T20|T20|S18
177|T20|T19|S20
176|T20|T20|S16
175|T20|T19|S18
174|T20|T20|S14
173|T20|T19|S16
172|T20|T20|S12
171|T20|T19|S14
170|T20|T20|BULL
169|T20|T19|S12
168|T20|T20|S8
167|T20|T19|BULL
166|T20|T20|S6
165|T20|T19|S8
164|T20|T18|BULL
163|T20|T17|S12
162|T20|T20|S2
161|T20|T17|BULL
160|T20|T20|D20
159|T20|T19|S2
158|T20|T20|D19
157|T20|T19|D20
156|T20|T20|D18
155|T20|T19|D19
154|T20|T18|D20
153|T20|T19|D18
152|T20|T20|D16
151|T20|T17|D20
150|T20|T18|D18
149|T20|T19|D16
148|T20|T16|D20
147|T20|T17|D18
146|T20|T18|D16
145|T20|T15|D20
144|T20|T20|D12
143|T20|T17|D16
142|T20|T14|D20
141|T20|T15|D18
140|T20|T16|D16
139|T19|T14|D20
138|T20|T18|D12
137|T19|T16|D16
136|T20|T20|D8
135|T20|T15|D20
134|T20|T14|D16
133|T20|T19|D8
132|T20|T14|D15
131|T20|T13|D16
130|T20|T18|D8
129|T19|T16|D12
128|T18|T14|D16
127|T20|T17|D8
126|T19|T19|D6
125|BULL|T20|D16
124|T20|T16|D8
123|T19|T16|D8
122|T18|T16|D10
121|T20|T15|D8
120|T20|S20|D20
119|T19|S14|D20
118|T20|S18|D20
117|T20|S17|D20
116|T20|S16|D20
115|T20|S15|D20
114|T20|S14|D20
113|T19|S16|D20
112|T20|S12|D20
111|T20|S11|D20
110|T20|S10|D20
109|T19|S12|D20
108|T20|S16|D16
107|T19|S18|D16
106|T20|S10|D16
105|T19|S16|D16
104|T20|S12|D16
103|T19|S14|D16
102|T20|S10|D13
101|T17|S10|D20
100|T20|D20|-
99|T19|S10|D16
98|T20|D19|-
97|T19|D20|-
96|T20|D18|-
95|T19|S18|D10
94|T18|D20|-
93|T19|D18|-
92|T20|D16|-
91|T17|D20|-
90|T20|D15|-
89|T19|D16|-
88|T16|D20|-
87|T17|D18|-
86|T18|D16|-
85|T15|D20|-
84|T20|D12|-
83|T17|D16|-
82|T14|D20|-
81|T15|D18|-
80|T20|D10|-
79|T13|D20|-
78|T18|D12|-
77|T19|D10|-
76|T20|D8|-
75|T17|D12|-
74|T14|D16|-
73|T19|D8|-
72|T16|D12|-
71|T13|D16|-
70|T18|D8|-
69|T15|D12|-
68|T20|D4|-
67|T17|D8|-
66|T14|D12|-
65|T19|D4|-
64|T16|D8|-
63|T13|D12|-
62|T10|D16|-
61|T15|D8|-
60|D20|-|-
59|S19|D20|-
58|D19|-|-
57|S17|D20|-
56|D18|-|-
55|S15|D20|-
54|D17|-|-
53|S13|D20|-
52|D16|-|-
51|S11|D20|-
50|BULL|-|-
49|S9|D20|-
48|S16|D16|-
47|S15|D16|-
46|S14|D16|-
45|S13|D16|-
44|S12|D16|-
43|S11|D16|-
42|S10|D16|-
41|S9|D16|-
40|D20|-|-
39|S7|D16|-
38|D19|-|-
37|S5|D16|-
36|D18|-|-
35|S3|D16|-
34|D17|-|-
33|S1|D16|-
32|D16|-|-
31|S15|D8|-
30|D15|-|-
29|S13|D8|-
28|D14|-|-
27|S11|D8|-
26|D13|-|-
25|S9|D8|-
24|D12|-|-
23|S7|D8|-
22|D11|-|-
21|S5|D8|-
20|D10|-|-
19|S3|D8|-
18|D9|-|-
17|S1|D8|-
16|D8|-|-
15|S7|D4|-
14|D7|-|-
13|S5|D4|-
12|D6|-|-
11|S3|D4|-
10|D5|-|-
9|S1|D4|-
8|D4|-|-
7|S3|D2|-
6|D3|-|-
5|S1|D2|-
4|D2|-|-
3|S1|D1|-
2|D1|-|-

--- [MODE : NORMAL OUT] ---
180|T20|T20|T20
179|-|-|-
178|-|-|-
177|T19|T20|T20
176|-|-|-
175|-|-|-
174|T18|T20|T20
173|-|-|-
172|-|-|-
171|T17|T20|T20
170|T20|T20|BULL
169|-|-|-
168|T16|T20|T20
167|T19|T20|BULL
166|-|-|-
165|T15|T20|T20
164|T18|T20|BULL
163|-|-|-
162|T14|T20|T20
161|T17|T20|BULL
160|T20|T20|D20
